s_sta,e_sta,dist,in_use
Lochau-Hoerbranz,Sud(Lauterach),8,1
Lustenau Markt,Sud(Lauterach),6.6,1
Sud(Lauterach),Feldkirch,32.2,1
Feldkirch,Tisis,7.3,1
Bludenz,Schruns,12.7,1
Feldkirch,Bludenz,20.8,1
Bludenz,Innsbruck,136.3,1
Innsbruck,Brenner,38.4,1
Innsbruck,Jenbach,34.4,1
Jenbach,Mayrhofen,31.7,1
Jenbach,Woergl,24.9,1
Woergl,Kufstein,13.7,1
Woergl,Zelamsee,93,1
Zelamsee,Krimml,52.7,1
Zelamsee,Schwarzach-St.Veit,32.9,1
Schwarzach-St.Veit,Bischofshofen,14,1
Spittal-milstaettersee,Schwarzach-St.Veit,80.9,1
Silian,Spittal-milstaettersee,98.5,1
Spittal-milstaettersee,Villach,35.8,1
Villach,St.Veit-an-der-Glan,49.7,1
Arnoldstein,Koeschach-Mauthen,61.7,1
VillachWarmbad,Arnoldstein,13.2,1
Villach,VillachWarmbad,4.1,1
Arnoldstein,Thoeri-Maglern,5.3,1
VillachWarmbad,Rosenbach,20,1
Villach,Klagenfurt,38.4,1
St.Veit-an-der-Glan,Klagenfurt,18,1
Klagenfurt,Rosenbach,39.8,1
Wolfsberg,Klagenfurt,75.5,1
St.Veit-an-der-Glan,Unzmarkt,69.2,1
St.michael,Unzmarkt,56.3,1
St.michael,Bruck-an-der-mur,25.7,1
Bruck-an-der-mur,Graz,53.5,1
Graz,Graz-Werndorf,18.1,1
Graz-Werndorf,Spielfeld-strass,28.1,1
Graz-Werndorf,Wetmannstaetten,10,1
Wetmannstaetten,Wies-elbiswald,33.3,1
Lieboch,Wetmannstaetten,17.4,1
Graz,Lieboch,16.1,1
Lieboch,Koeflach,24.3,1
Graz,Gleisdorf,29.7,1
Gleisdorf,Weiz,14.8,1
Feldbach,Bad-Gleichenberg,21.2,1
Gleisdorf,Feldbach,24,1
Feldbach,Fehring,9.5,1
Fehring,Mogersdorf,16.7,1
Fehring,Wr-Neustadt,132.9,1
Wr-Neustadt,Bruck-an-der-mur,109.8,1
Bischofshofen,Stainach-irdning,80.2,1
Selzthal,St.Michael,63.4,1
Stainach-irdning,Selzthal,18.4,1
Bischofshofen,Salzburg,52.5,1
Attnang-Puchheim,Stainach-irdning,107.2,1
Gmunden,Lambach,29.3,1
Salzburg,Burmoos,23,1
Burmoos,Lamprechtshausen,2.1,1
Burmoos,Trimmelkam,9,1
Salzburg,Steindorf,26,1
Steindorf,Voecklamarkt,23.3,1
Voecklamarkt,Attersee,13.3,1
Voecklamarkt,Voeklabruck,16.1,1
Voeklabruck,Kammer-schoerfling,10.9,1
Voeklabruck,Attnang-Puchheim,4.7,1
Attnang-Puchheim,Ried-im-innkreis,33,1
Ried-im-innkreis,Braunau-am-inn,36.8,1
Ried-im-innkreis,Neumarkt-Kallham,21.6,1
Ried-im-innkreis,Scharding,33.5,1
Scharding,Wernstein,4.8,1
Steindorf,Braunau-am-inn,38,1
Lambach,Wels,13.3,1
Wels,Linz,24.4,1
Wels,Neumarkt-Kallham,29.7,1
Niederspaching,Peuerbach,3.6,1
Wels,Grunau-im-almtal,43,1
Neumarkt-Kallham,Niederspaching,9.2,1
Niederspaching,Linz,54.9,1
Linz,Selzthal,104.2,1
Selzthal,Kastenreith,75.2,1
Waidhofen,Kastenreith,20.3,1
Waidhofen,Waidhofen-pastalozzi,3.5,1
Waidhofen,Amstetten,23.4,1
Amstetten,St.Valentin,39.5,1
Kastenreith,St.Valentin,63.8,1
Linz,Summerau,55.9,1
St.Valentin,Enns,6.9,1
Enns,linz,17.4,1
Enns,St.pantaleon,3.2,1
St.Valentin,St.pantaleon,6,1
St.pantaleon,St.nikola-struden,38.4,1
